Geography,Date,Cumulative Deaths,Total Deaths Per 100000 (age-adjusted),Death Data As Of
United States,Feb 22 2025,1221879,306.1,Feb 27 2025
United States,Feb 15 2025,1221596,306,Feb 27 2025
United States,Feb  8 2025,1221099,305.9,Feb 27 2025
United States,Feb  1 2025,1220443,305.7,Feb 27 2025
United States,Jan 25 2025,1219593,305.5,Feb 27 2025
United States,Jan 18 2025,1218700,305.3,Feb 27 2025
United States,Jan 11 2025,1217731,305,Feb 27 2025
United States,Jan  4 2025,1216722,304.8,Feb 27 2025
United States,Dec 28 2024,1215851,304.5,Feb 27 2025
United States,Dec 21 2024,1215194,304.4,Feb 27 2025
United States,Dec 14 2024,1214616,304.2,Feb 27 2025
United States,Dec  7 2024,1214058,304.1,Feb 27 2025
United States,Nov 30 2024,1213572,304,Feb 27 2025
United States,Nov 23 2024,1213084,303.8,Feb 27 2025
United States,Nov 16 2024,1212616,303.7,Feb 27 2025
United States,Nov  9 2024,1212090,303.6,Feb 27 2025
United States,Nov  2 2024,1211537,303.4,Feb 27 2025
United States,Oct 26 2024,1210937,303.3,Feb 27 2025
United States,Oct 19 2024,1210295,303.1,Feb 27 2025
United States,Oct 12 2024,1209564,302.9,Feb 27 2025
United States,Oct  5 2024,1208762,302.7,Feb 27 2025
United States,Sep 28 2024,1207794,302.5,Feb 27 2025
United States,Sep 21 2024,1206765,302.2,Feb 27 2025
United States,Sep 14 2024,1205663,302,Feb 27 2025
United States,Sep  7 2024,1204425,301.6,Feb 27 2025
United States,Aug 31 2024,1203201,301.3,Feb 27 2025
United States,Aug 24 2024,1201848,301,Feb 27 2025
United States,Aug 17 2024,1200599,300.7,Feb 27 2025
United States,Aug 10 2024,1199520,300.4,Feb 27 2025
United States,Aug  3 2024,1198458,300.1,Feb 27 2025
United States,Jul 27 2024,1197480,299.9,Feb 27 2025
United States,Jul 20 2024,1196621,299.7,Feb 27 2025
United States,Jul 13 2024,1195890,299.5,Feb 27 2025
United States,Jul  6 2024,1195299,299.3,Feb 27 2025
United States,Jun 29 2024,1194768,299.2,Feb 27 2025
United States,Jun 22 2024,1194325,299.1,Feb 27 2025
United States,Jun 15 2024,1193893,299,Feb 27 2025
United States,Jun  8 2024,1193527,298.9,Feb 27 2025
United States,Jun  1 2024,1193213,298.8,Feb 27 2025
United States,May 25 2024,1192887,298.7,Feb 27 2025
United States,May 18 2024,1192543,298.6,Feb 27 2025
United States,May 11 2024,1192203,298.5,Feb 27 2025
United States,May  4 2024,1191868,298.4,Feb 27 2025
United States,Apr 27 2024,1191442,298.3,Feb 27 2025
United States,Apr 20 2024,1191015,298.2,Feb 27 2025
United States,Apr 13 2024,1190516,298.1,Feb 27 2025
United States,Apr  6 2024,1189946,298,Feb 27 2025
United States,Mar 30 2024,1189315,297.8,Feb 27 2025
United States,Mar 23 2024,1188578,297.6,Feb 27 2025
United States,Mar 16 2024,1187728,297.4,Feb 27 2025
United States,Mar  9 2024,1186687,297.1,Feb 27 2025
United States,Mar  2 2024,1185585,296.9,Feb 27 2025
United States,Feb 24 2024,1184318,296.5,Feb 27 2025
United States,Feb 17 2024,1182993,296.2,Feb 27 2025
United States,Feb 10 2024,1181603,295.8,Feb 27 2025
United States,Feb  3 2024,1179983,295.4,Feb 27 2025
United States,Jan 27 2024,1178239,295,Feb 27 2025
United States,Jan 20 2024,1176105,294.5,Feb 27 2025
United States,Jan 13 2024,1173740,293.9,Feb 27 2025
United States,Jan  6 2024,1171156,293.2,Feb 27 2025
United States,Dec 30 2023,1168662,292.6,Feb 27 2025
United States,Dec 23 2023,1166431,292,Feb 27 2025
United States,Dec 16 2023,1164495,291.5,Feb 27 2025
United States,Dec  9 2023,1162650,291,Feb 27 2025
United States,Dec  2 2023,1160857,290.6,Feb 27 2025
United States,Nov 25 2023,1159126,290.2,Feb 27 2025
United States,Nov 18 2023,1157702,289.8,Feb 27 2025
United States,Nov 11 2023,1156271,289.4,Feb 27 2025
United States,Nov  4 2023,1154877,289.1,Feb 27 2025
United States,Oct 28 2023,1153631,288.8,Feb 27 2025
United States,Oct 21 2023,1152339,288.4,Feb 27 2025
United States,Oct 14 2023,1150946,288.1,Feb 27 2025
United States,Oct  7 2023,1149631,287.8,Feb 27 2025
United States,Sep 30 2023,1148233,287.4,Feb 27 2025
United States,Sep 23 2023,1146777,287,Feb 27 2025
United States,Sep 16 2023,1145359,286.7,Feb 27 2025
United States,Sep  9 2023,1143949,286.3,Feb 27 2025
United States,Sep  2 2023,1142636,286,Feb 27 2025
United States,Aug 26 2023,1141449,285.7,Feb 27 2025
United States,Aug 19 2023,1140382,285.4,Feb 27 2025
United States,Aug 12 2023,1139461,285.2,Feb 27 2025
United States,Aug  5 2023,1138709,285,Feb 27 2025
United States,Jul 29 2023,1138036,284.8,Feb 27 2025
United States,Jul 22 2023,1137483,284.7,Feb 27 2025
United States,Jul 15 2023,1136943,284.5,Feb 27 2025
United States,Jul  8 2023,1136433,284.4,Feb 27 2025
United States,Jul  1 2023,1135941,284.3,Feb 27 2025
United States,Jun 24 2023,1135399,284.1,Feb 27 2025
United States,Jun 17 2023,1134816,284,Feb 27 2025
United States,Jun 10 2023,1134204,283.8,Feb 27 2025
United States,Jun  3 2023,1133571,283.7,Feb 27 2025
United States,May 27 2023,1132878,283.5,Feb 27 2025
United States,May 20 2023,1132136,283.3,Feb 27 2025
United States,May 13 2023,1131378,283.1,Feb 27 2025
United States,May  6 2023,1130540,282.9,Feb 27 2025
United States,Apr 29 2023,1129594,282.7,Feb 27 2025
United States,Apr 22 2023,1128567,282.4,Feb 27 2025
United States,Apr 15 2023,1127370,282.1,Feb 27 2025
United States,Apr  8 2023,1126153,281.8,Feb 27 2025
United States,Apr  1 2023,1124780,281.5,Feb 27 2025
United States,Mar 25 2023,1123331,281.1,Feb 27 2025
United States,Mar 18 2023,1121663,280.7,Feb 27 2025
United States,Mar 11 2023,1119902,280.2,Feb 27 2025
United States,Mar  4 2023,1118053,279.8,Feb 27 2025
United States,Feb 25 2023,1116053,279.2,Feb 27 2025
United States,Feb 18 2023,1113900,278.7,Feb 27 2025
United States,Feb 11 2023,1111799,278.2,Feb 27 2025
United States,Feb  4 2023,1109452,277.6,Feb 27 2025
United States,Jan 28 2023,1106810,276.9,Feb 27 2025
United States,Jan 21 2023,1103896,276.2,Feb 27 2025
United States,Jan 14 2023,1100638,275.3,Feb 27 2025
United States,Jan  7 2023,1096950,274.4,Feb 27 2025
United States,Dec 31 2022,1093079,273.4,Feb 27 2025
United States,Dec 24 2022,1089408,272.5,Feb 27 2025
United States,Dec 17 2022,1086075,271.7,Feb 27 2025
United States,Dec 10 2022,1082869,270.9,Feb 27 2025
United States,Dec  3 2022,1079833,270.1,Feb 27 2025
United States,Nov 26 2022,1077235,269.4,Feb 27 2025
United States,Nov 19 2022,1074733,268.8,Feb 27 2025
United States,Nov 12 2022,1072467,268.2,Feb 27 2025
United States,Nov  5 2022,1070264,267.7,Feb 27 2025
