jurisdiction,date,cumulative_deaths,total_deaths_per_100000_(age-adjusted),death_data_as_of,sewershed_id,reporting_jurisdiction,county,population_served,current_virus_levels_in_wastewater_by_site_(in_%),percent_change_in_the_last_15_days,percent_of_wastewater_samples_with_detectable_virus,viral_activity_level
United States,2025-02-22,1221879,306.1,Feb 27 2025,,,,,,,,
United States,2025-02-15,1221596,306.0,Feb 27 2025,,,,,,,,
United States,2025-02-08,1221099,305.9,Feb 27 2025,,,,,,,,
United States,2025-02-01,1220443,305.7,Feb 27 2025,,,,,,,,
United States,2025-01-25,1219593,305.5,Feb 27 2025,,,,,,,,
United States,2025-01-18,1218700,305.3,Feb 27 2025,,,,,,,,
United States,2025-01-11,1217731,305.0,Feb 27 2025,,,,,,,,
United States,2025-01-04,1216722,304.8,Feb 27 2025,,,,,,,,
United States,2024-12-28,1215851,304.5,Feb 27 2025,,,,,,,,
United States,2024-12-21,1215194,304.4,Feb 27 2025,,,,,,,,
United States,2024-12-14,1214616,304.2,Feb 27 2025,,,,,,,,
United States,2024-12-07,1214058,304.1,Feb 27 2025,,,,,,,,
United States,2024-11-30,1213572,304.0,Feb 27 2025,,,,,,,,
United States,2024-11-23,1213084,303.8,Feb 27 2025,,,,,,,,
United States,2024-11-16,1212616,303.7,Feb 27 2025,,,,,,,,
United States,2024-11-09,1212090,303.6,Feb 27 2025,,,,,,,,
United States,2024-11-02,1211537,303.4,Feb 27 2025,,,,,,,,
United States,2024-10-26,1210937,303.3,Feb 27 2025,,,,,,,,
United States,2024-10-19,1210295,303.1,Feb 27 2025,,,,,,,,
United States,2024-10-12,1209564,302.9,Feb 27 2025,,,,,,,,
United States,2024-10-05,1208762,302.7,Feb 27 2025,,,,,,,,
United States,2024-09-28,1207794,302.5,Feb 27 2025,,,,,,,,
United States,2024-09-21,1206765,302.2,Feb 27 2025,,,,,,,,
United States,2024-09-14,1205663,302.0,Feb 27 2025,,,,,,,,
United States,2024-09-07,1204425,301.6,Feb 27 2025,,,,,,,,
United States,2024-08-31,1203201,301.3,Feb 27 2025,,,,,,,,
United States,2024-08-24,1201848,301.0,Feb 27 2025,,,,,,,,
United States,2024-08-17,1200599,300.7,Feb 27 2025,,,,,,,,
United States,2024-08-10,1199520,300.4,Feb 27 2025,,,,,,,,
United States,2024-08-03,1198458,300.1,Feb 27 2025,,,,,,,,
United States,2024-07-27,1197480,299.9,Feb 27 2025,,,,,,,,
United States,2024-07-20,1196621,299.7,Feb 27 2025,,,,,,,,
United States,2024-07-13,1195890,299.5,Feb 27 2025,,,,,,,,
United States,2024-07-06,1195299,299.3,Feb 27 2025,,,,,,,,
United States,2024-06-29,1194768,299.2,Feb 27 2025,,,,,,,,
United States,2024-06-22,1194325,299.1,Feb 27 2025,,,,,,,,
United States,2024-06-15,1193893,299.0,Feb 27 2025,,,,,,,,
United States,2024-06-08,1193527,298.9,Feb 27 2025,,,,,,,,
United States,2024-06-01,1193213,298.8,Feb 27 2025,,,,,,,,
United States,2024-05-25,1192887,298.7,Feb 27 2025,,,,,,,,
United States,2024-05-18,1192543,298.6,Feb 27 2025,,,,,,,,
United States,2024-05-11,1192203,298.5,Feb 27 2025,,,,,,,,
United States,2024-05-04,1191868,298.4,Feb 27 2025,,,,,,,,
United States,2024-04-27,1191442,298.3,Feb 27 2025,,,,,,,,
United States,2024-04-20,1191015,298.2,Feb 27 2025,,,,,,,,
United States,2024-04-13,1190516,298.1,Feb 27 2025,,,,,,,,
United States,2024-04-06,1189946,298.0,Feb 27 2025,,,,,,,,
United States,2024-03-30,1189315,297.8,Feb 27 2025,,,,,,,,
United States,2024-03-23,1188578,297.6,Feb 27 2025,,,,,,,,
United States,2024-03-16,1187728,297.4,Feb 27 2025,,,,,,,,
United States,2024-03-09,1186687,297.1,Feb 27 2025,,,,,,,,
United States,2024-03-02,1185585,296.9,Feb 27 2025,,,,,,,,
United States,2024-02-24,1184318,296.5,Feb 27 2025,,,,,,,,
United States,2024-02-17,1182993,296.2,Feb 27 2025,,,,,,,,
United States,2024-02-10,1181603,295.8,Feb 27 2025,,,,,,,,
United States,2024-02-03,1179983,295.4,Feb 27 2025,,,,,,,,
United States,2024-01-27,1178239,295.0,Feb 27 2025,,,,,,,,
United States,2024-01-20,1176105,294.5,Feb 27 2025,,,,,,,,
United States,2024-01-13,1173740,293.9,Feb 27 2025,,,,,,,,
United States,2024-01-06,1171156,293.2,Feb 27 2025,,,,,,,,
United States,2023-12-30,1168662,292.6,Feb 27 2025,,,,,,,,
United States,2023-12-23,1166431,292.0,Feb 27 2025,,,,,,,,
United States,2023-12-16,1164495,291.5,Feb 27 2025,,,,,,,,
United States,2023-12-09,1162650,291.0,Feb 27 2025,,,,,,,,
United States,2023-12-02,1160857,290.6,Feb 27 2025,,,,,,,,
United States,2023-11-25,1159126,290.2,Feb 27 2025,,,,,,,,
United States,2023-11-18,1157702,289.8,Feb 27 2025,,,,,,,,
United States,2023-11-11,1156271,289.4,Feb 27 2025,,,,,,,,
United States,2023-11-04,1154877,289.1,Feb 27 2025,,,,,,,,
United States,2023-10-28,1153631,288.8,Feb 27 2025,,,,,,,,
United States,2023-10-21,1152339,288.4,Feb 27 2025,,,,,,,,
United States,2023-10-14,1150946,288.1,Feb 27 2025,,,,,,,,
United States,2023-10-07,1149631,287.8,Feb 27 2025,,,,,,,,
