Jurisdiction,Sewershed ID,Reporting Jurisdiction,County,Population Served,Current virus levels in wastewater by site (in %),Percent change in the last 15 days ,Percent of wastewater samples with detectable virus 
Alabama,2629,Alabama,Lee,70000,59,-53,100
Alabama,2916,Alabama,Sumter,4000,44.33,N/A,100
Alabama,2917,Alabama,Tuscaloosa,12278,67.6,N/A,100
Alabama,2925,Alabama,Macon,3653,67.6,N/A,100
Alabama,2926,Alabama,Dallas,19000,41.4,N/A,100
Alabama,2937,Alabama,Randolph,5311,75.6,N/A,100
Alabama,1716,Alabama,Jefferson,30000,62,-21,60
Alabama,2875,Alabama,Marshall,18280,86.6,N/A,100
Alabama,2877,Alabama,Morgan,50772,68.75,N/A,100
Alabama,2878,Alabama,Madison,46000,82.2,N/A,100
Alabama,2924,Alabama,Pike,20000,19.25,N/A,100
Alabama,1718,Alabama,Jefferson,225000,58.29,26,100
Alabama,1719,Alabama,Jefferson,200000,46,-19,100
Alabama,2923,Alabama,Barbour,14000,50,N/A,100
Alabama,2510,Alabama,Colbert,18000,56.6,12,100
Alabama,2876,Alabama,Calhoun,22600,81.2,N/A,100
Alabama,1664,Alabama,Jefferson,95000,66.67,-6,100
Alabama,1893,Alabama,Jefferson,77000,42.71,15,100
Alaska,1172,Alaska,Anchorage,220000,42,-100,50
Alaska,1490,Alaska,Juneau,12000,24,-74,100
Alaska,2609,Alaska,Anchorage,220000,41,-4,100
Alaska,2633,Alaska,Anchorage,23000,51.2,-39,100
Alaska,2844,Alaska,Fairbanks North Star,92000,50.4,69,100
Alaska,1491,Alaska,Juneau,22000,N/A,N/A,N/A
Arizona,1053,Arizona,Yuma,8271,46,2833,67
Arizona,1055,Arizona,Yuma,8271,66.2,-99,100
Arizona,1212,Arizona,Maricopa,12542,32.2,1759381,100
Arizona,1271,Arizona,Pima,23000,31.75,105,100
Arizona,808,Arizona,Mohave,37500,21,198,100
Arizona,1057,Arizona,Yuma,4508,56,-100,100
Arizona,1059,Arizona,Yuma,18039,48,229633,100
Arizona,1212,Arizona,Maricopa,53578,45.6,-100,100
Arizona,1212,Arizona,Maricopa,17280,44.2,-100,50
Arizona,1212,Arizona,Maricopa,9430,54,31927638,100
Arizona,1212,Arizona,Maricopa,9848,38.6,-96,100
Arizona,2524,Arizona,Maricopa,19260,38.6,-85,100
Arizona,2828,Arizona,Coconino,46000,16.6,-18,100
Arizona,2918,Arizona,La Paz,3400,54.75,-99,67
Arizona,501,Arizona,La Paz,3500,56.5,-87,100
Arizona,715,Arizona,Pima,397407,28.6,-20,100
Arizona,1056,Arizona,Yuma,8928,43,-92,33
Arizona,1212,Arizona,Maricopa,23746,33.8,-100,50
Arizona,1212,Arizona,Maricopa,88521,19.4,-92,100
Arizona,1212,Arizona,Maricopa,64521,21.6,21,100
Arizona,1212,Arizona,Maricopa,6500,50.2,-100,100
Arizona,1382,Arizona,Maricopa,50000,16.2,55,100
Arizona,1383,Arizona,Maricopa,2400000,26.6,19,100
Arizona,2523,Arizona,Maricopa,130000,22.2,-80,100
Arizona,2829,Arizona,Coconino,80000,33,78,100
Arizona,590,Arizona,Pima,347900,44.6,152,100
Arkansas,1542,Arkansas,Pulaski,30377,39.5,23,100
Arkansas,2631,Arkansas,Greene,25000,27.4,9018,75
Arkansas,2686,Arkansas,Garland,38000,35.25,-15,100
Arkansas,1546,Arkansas,Pulaski,18463,63.25,67,100
Arkansas,2588,Arkansas,Boone,14000,33,-98,100
Arkansas,2588,Arkansas,Boone,15000,45.43,-20,100
Arkansas,446,Arkansas,Pulaski,32043,26.25,-48,100
Arkansas,1543,Arkansas,Pulaski,23812,25.75,-87,100
Arkansas,2507,Arkansas,Benton,19000,82.33,-100,100
California,1668,California,Contra Costa,495000,14,14,100
California,1695,California,Marin,30000,16.4,192,100
California,1720,California,Contra Costa,102000,32,212,100
California,2638,California,El Dorado,30000,25,-79,100
California,2680,California,Sonoma,237800,19.6,24,100
California,2685,California,San Luis Obispo,15000,35,14,100
California,2864,California,Solano,155000,25.4,107,100
California,2874,California,Stanislaus,230000,67.4,136,100
California,2888,California,Santa Cruz,94000,16.8,-64,100
California,2890,California,Santa Cruz,70000,11,-16,100
California,1524,California,Plumas,4217,N/A,N/A,N/A
California,211,California,Los Angeles,3500000,44,N/A,100
California,2330,California,Santa Barbara,77600,26.25,N/A,100
California,2338,California,Butte,44000,N/A,N/A,N/A
California,2411,California,Butte,101299,N/A,N/A,N/A
California,1869,California,Riverside,350000,39.43,-6,100
California,2743,California,Shasta,29000,22.33,40,80
California,2745,California,Santa Barbara,97000,36.71,11,100
California,2783,California,Los Angeles,3500000,32.14,7,100
California,305,California,Santa Clara,236000,14.4,-5,100
California,363,California,San Francisco; San Mateo,750000,37.86,-3,93
California,2487,California,Monterey,16000,32.4,-98,100
California,2526,California,Ventura,250000,53.2,64,100
California,2590,California,Alameda,60000,30.6,-81,100
California,2594,California,San Luis Obispo,39000,43,-99,100
California,2623,California,Santa Cruz,12000,20,-86,67
California,2889,California,Santa Cruz,164000,7.4,-40,100
California,1019,California,Lake,13200,18.75,N/A,100
California,158,California,Fresno,650000,N/A,N/A,N/A
California,1640,California,Napa,20256,19,392,100
