Date,Viral Activity Level
1/1/2022,16.68
1/8/2022,24.63
1/15/2022,23.45
1/22/2022,20.97
1/29/2022,15.15
2/5/2022,9.86
2/12/2022,6.3
2/19/2022,4.19
2/26/2022,2.83
3/5/2022,1.92
3/12/2022,1.55
3/19/2022,1.29
3/26/2022,1.38
4/2/2022,1.31
4/9/2022,1.71
4/16/2022,2.24
4/23/2022,3.36
4/30/2022,4.07
5/7/2022,5.23
5/14/2022,6.3
5/21/2022,7.18
5/28/2022,8
6/4/2022,7.8
6/11/2022,7.29
6/18/2022,7.29
6/25/2022,7.71
7/2/2022,8.3
7/9/2022,9.99
7/16/2022,9.64
7/23/2022,10.35
7/30/2022,9.4
8/6/2022,8.47
8/13/2022,7.54
8/20/2022,7.09
8/27/2022,6.88
9/3/2022,6.04
9/10/2022,5.79
9/17/2022,5.37
9/24/2022,4.98
10/1/2022,3.92
10/8/2022,3.72
10/15/2022,3.6
10/22/2022,3.61
10/29/2022,4.2
11/5/2022,4.21
11/12/2022,4.4
11/19/2022,4.91
11/26/2022,5.57
12/3/2022,9.19
12/10/2022,8.89
12/17/2022,9.46
12/24/2022,9.77
12/31/2022,11.24
1/7/2023,8.53
1/14/2023,6.19
1/21/2023,5.96
1/28/2023,6.14
2/4/2023,6.43
2/11/2023,6.56
2/18/2023,6.68
2/25/2023,6.15
3/4/2023,5.42
3/11/2023,4.62
3/18/2023,4.98
3/25/2023,4.66
4/1/2023,3.68
4/8/2023,3.05
4/15/2023,2.99
4/22/2023,2.26
4/29/2023,1.98
5/6/2023,2.16
5/13/2023,1.99
5/20/2023,1.74
5/27/2023,1.56
6/3/2023,1.38
6/10/2023,1.21
6/17/2023,1.22
6/24/2023,1.28
7/1/2023,1.45
7/8/2023,1.77
7/15/2023,1.97
7/22/2023,2.22
7/29/2023,2.77
8/5/2023,3.33
8/12/2023,4.27
8/19/2023,4.6
8/26/2023,5.17
9/2/2023,5.95
9/9/2023,6.71
9/16/2023,5.89
9/23/2023,5.63
9/30/2023,5.41
10/7/2023,4.71
10/14/2023,4.07
10/21/2023,4.3
10/28/2023,4.33
11/4/2023,4.75
11/11/2023,5.2
11/18/2023,5.87
11/25/2023,6.53
12/2/2023,8.02
12/9/2023,8.94
12/16/2023,10.08
12/23/2023,12.43
12/30/2023,14.31
1/6/2024,13.77
1/13/2024,10.8
1/20/2024,8.89
1/27/2024,8.68
2/3/2024,7.21
2/10/2024,7.38
2/17/2024,7.2
2/24/2024,6.58
3/2/2024,5.25
3/9/2024,4.24
3/16/2024,3.16
3/23/2024,2.68
3/30/2024,2.53
4/6/2024,2.23
4/13/2024,1.93
4/20/2024,1.63
4/27/2024,1.47
5/4/2024,1.46
5/11/2024,1.5
5/18/2024,1.68
5/25/2024,1.83
6/1/2024,2.06
6/8/2024,2.33
6/15/2024,2.53
6/22/2024,3.17
6/29/2024,4.04
7/6/2024,4.64
7/13/2024,5.92
7/20/2024,6.7
7/27/2024,7.3
8/3/2024,8.91
8/10/2024,8.74
8/17/2024,8.78
8/24/2024,9.04
8/31/2024,8.84
9/7/2024,8.22
9/14/2024,7.34
9/21/2024,5.61
9/28/2024,4.2
10/5/2024,2.94
10/12/2024,2.45
10/19/2024,2.14
10/26/2024,2.15
11/2/2024,2.03
11/9/2024,1.79
11/16/2024,1.77
11/23/2024,1.95
11/30/2024,1.82
12/7/2024,2.82
12/14/2024,3.6
12/21/2024,4.14
12/28/2024,5.09
1/4/2025,5.52
1/11/2025,5.3
1/18/2025,4.41
1/25/2025,4.55
2/1/2025,4.56
2/8/2025,4.46
2/15/2025,4.11
2/22/2025,3.49
