Wastewater Surveillance Data
Date generated: Fri Feb 28 2025 10:01:32 GMT-0500 (Eastern Standard Time)
Jurisdiction,Sewershed ID,Reporting Jurisdiction,County,Population Served,Current virus levels in wastewater by site (in %),Percent change in the last 15 days ,Percent of wastewater samples with detectable virus 
Alabama,2937,Alabama,Randolph,5311,75.6,173,100
Alabama,2926,Alabama,Dallas,19000,41.4,578,100
Alabama,2925,Alabama,Macon,3653,67.6,-84,100
Alabama,2917,Alabama,Tuscaloosa,12278,67.6,-31,100
Alabama,2916,Alabama,Sumter,4000,44.33,11213,100
Alabama,2629,Alabama,Lee,70000,54.4,627,100
Alabama,1716,Alabama,Jefferson,30000,51.86,33,100
Alabama,2875,Alabama,Marshall,18280,86.6,-55,100
Alabama,2877,Alabama,Morgan,50772,68.75,19270,100
Alabama,2878,Alabama,Madison,46000,82.2,-67,100
Alabama,1718,Alabama,Jefferson,225000,48.29,-5,100
Alabama,1719,Alabama,Jefferson,200000,63,-3,100
Alabama,2923,Alabama,Barbour,14000,50,9,100
Alabama,1893,Alabama,Jefferson,77000,51.29,-25,100
Alabama,2510,Alabama,Colbert,18000,63.6,-54,100
Alabama,2876,Alabama,Calhoun,22600,81.2,-70,100
Alabama,2924,Alabama,Pike,20000,19.25,261,100
Alabama,1664,Alabama,Jefferson,95000,59,67,100
Alaska,1172,Alaska,Anchorage,220000,51,556,33
Alaska,1490,Alaska,Juneau,12000,28,N/A,100
Alaska,2609,Alaska,Anchorage,220000,36.14,3,100
Alaska,2633,Alaska,Anchorage,23000,55.4,-81,100
Alaska,2844,Alaska,Fairbanks North Star,92000,41.2,-50,100
Alaska,1491,Alaska,Juneau,22000,N/A,N/A,N/A
Arizona,808,Arizona,Mohave,37500,86,-55,100
Arizona,1271,Arizona,Pima,23000,67,11359,100
Arizona,1212,Arizona,Maricopa,12542,N/A,N/A,N/A
Arizona,1055,Arizona,Yuma,8271,63.8,-95,100
Arizona,1053,Arizona,Yuma,8271,59.6,-100,67
Arizona,1057,Arizona,Yuma,4508,65.4,122,100
Arizona,1059,Arizona,Yuma,18039,39.6,-60,100
Arizona,1212,Arizona,Maricopa,53578,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,17280,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,9430,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,9848,N/A,N/A,N/A
Arizona,2524,Arizona,Maricopa,19260,85,66642794,100
Arizona,2828,Arizona,Coconino,46000,45.4,-100,100
Arizona,2918,Arizona,La Paz,3400,65.4,628,100
Arizona,501,Arizona,La Paz,3500,95.8,-73,100
Arizona,715,Arizona,Pima,397407,87.4,-31,100
Arizona,1056,Arizona,Yuma,8928,71.5,-100,100
Arizona,1212,Arizona,Maricopa,23746,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,88521,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,64521,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,6500,N/A,N/A,N/A
Arizona,1382,Arizona,Maricopa,50000,86.2,96,100
Arizona,1383,Arizona,Maricopa,2400000,89.8,208,100
Arizona,2523,Arizona,Maricopa,130000,84.2,-73,100
Arizona,2829,Arizona,Coconino,80000,45.4,1369,100
Arizona,590,Arizona,Pima,347900,88,79166,100
Arkansas,2686,Arkansas,Garland,38000,50.6,-73,100
Arkansas,2631,Arkansas,Greene,25000,37.5,-99,67
Arkansas,1542,Arkansas,Pulaski,30377,44.25,-70,100
Arkansas,1546,Arkansas,Pulaski,18463,71.25,-93,100
Arkansas,2588,Arkansas,Boone,14000,48,112,100
Arkansas,2588,Arkansas,Boone,15000,47.29,44,100
Arkansas,446,Arkansas,Pulaski,32043,36.5,-49,100
Arkansas,1543,Arkansas,Pulaski,23812,34.5,63,100
Arkansas,2507,Arkansas,Benton,19000,82.33,3833,100
California,2411,California,Butte,101299,54.5,-100,100
California,2338,California,Butte,44000,N/A,N/A,N/A
California,2330,California,Santa Barbara,77600,19.29,70859653,100
California,211,California,Los Angeles,3500000,44.75,N/A,100
California,1524,California,Plumas,4217,47,N/A,100
California,2890,California,Santa Cruz,70000,24.8,-8,100
California,2888,California,Santa Cruz,94000,28.8,47,100
California,2874,California,Stanislaus,230000,61.2,37,100
California,2864,California,Solano,155000,28.4,1859,100
California,2685,California,San Luis Obispo,15000,48.67,-95,100
California,2680,California,Sonoma,237800,11.4,956,100
California,2638,California,El Dorado,30000,30.6,203,100
California,1720,California,Contra Costa,102000,21.4,66,100
California,1695,California,Marin,30000,23.2,51,100
California,1668,California,Contra Costa,495000,21.2,-26,100
California,1869,California,Riverside,350000,51.86,-3,100
California,2743,California,Shasta,29000,37.29,-14,83
California,2745,California,Santa Barbara,97000,29.14,-12,100
California,2783,California,Los Angeles,3500000,42.57,-11,100
California,305,California,Santa Clara,236000,22.47,-9,100
California,363,California,San Francisco; San Mateo,750000,43,8,100
California,2487,California,Monterey,16000,49.6,-97,100
California,2526,California,Ventura,250000,54.4,-43,100
California,2590,California,Alameda,60000,34.8,115,100
California,2594,California,San Luis Obispo,39000,59,314,100
California,2623,California,Santa Cruz,12000,30.6,-100,75
California,2889,California,Santa Cruz,164000,20.4,-28,100
California,1019,California,Lake,13200,N/A,N/A,N/A
California,158,California,Fresno,650000,32.75,N/A,100
California,1640,California,Napa,20256,8.6,N/A,100
California,2296,California,Contra Costa,218281,31.75,N/A,100
California,2421,California,Placer,108444,22.4,N/A,100
California,357,California,San Diego,2200000,N/A,N/A,N/A
California,59,California,Kern,168750,N/A,N/A,N/A
California,1690,California,Los Angeles,4000000,42,13,100
California,1703,California,Marin,53000,22.86,-20,100
California,1885,California,San Luis Obispo,31037,28.83,-10,100
California,1910,California,Stanislaus,86000,28.43,-4,100
California,1911,California,Solano,121000,25,-10,100
California,1593,California,San Luis Obispo,6031,72.8,-84,100
California,1712,California,San Mateo,27000,29.4,186,100
California,2490,California,Los Angeles; Ventura,75000,62,91,100
California,2536,California,Los Angeles,200000,58.25,212,100
California,2537,California,Monterey; Santa Cruz,60000,28.5,134,100
California,2741,California,Nevada,13754,16,-97,75
California,834,California,Riverside,91980,61,-14,100
California,1188,California,Ventura,250000,31.17,504379670,100
California,2361,California,Humboldt,45000,N/A,N/A,N/A
California,2370,California,San Luis Obispo,47545,35,N/A,100
California,2397,California,Shasta,60000,22.86,2147483647,100
California,299,California,Orange,1800000,N/A,N/A,N/A
California,363,California,San Francisco,9923,35,2269,100
California,363,California,San Mateo; San Francisco,66446,38,-75,100
California,363,California,San Mateo; San Francisco,750000,N/A,N/A,N/A
California,1372,California,Merced,91000,21.57,-5,100
California,1669,California,Marin,104250,39.4,-35,100
California,1713,California,Napa,83300,49.29,7,100
California,1888,California,Sonoma,230000,54.57,8,100
California,1904,California,San Bernardino,890000,44,1,100
California,1913,California,Yolo,59000,34.14,17,100
California,1946,California,Santa Clara,153000,22.4,4,100
California,2406,California,Santa Cruz,60000,24.5,10,100
California,2719,California,Yolo,68000,26.5,3,100
California,2746,California,Placer,130000,19.5,-4,100
California,2892,California,Sacramento,1480000,29.73,-4,100
California,352,California,Santa Clara,110338,25.4,-10,100
California,362,California,San Francisco; San Mateo,250000,30.47,-5,100
California,1711,California,Marin,18000,30.4,91,100
California,2669,California,San Luis Obispo,14465,42.75,190,100
California,2825,California,San Mateo,150000,36.6,58,100
California,2831,California,San Joaquin,68000,33.75,-31,100
California,2869,California,Mono,8200,62.8,1327,100
California,2870,California,San Joaquin,29000,51.4,-98,100
California,2871,California,San Benito,43000,61.25,63,100
California,215,California,Los Angeles; Ventura,4000000,N/A,N/A,N/A
California,2396,California,Sutter,70000,25.5,N/A,100
California,2436,California,Del Norte,15372,N/A,N/A,N/A
California,2636,California,Placer; El Dorado; Nevada,50000,N/A,N/A,N/A
California,356,California,San Bernardino,325000,32.25,N/A,100
California,363,California,San Francisco,3882,36.75,-39,100
California,363,California,San Francisco,11738,24.33,N/A,100
California,363,California,San Francisco,6308,28.5,-71,100
California,363,California,San Francisco,4416,50,128,100
California,88,California,Contra Costa,487300,N/A,N/A,N/A
California,1678,California,Santa Cruz,160000,35.71,-37,100
California,1872,California,Alameda,229476,44.2,-7,100
California,1892,California,San Diego,2200000,17.6,-16,100
California,1896,California,Santa Barbara,69290,45.86,-20,100
California,1898,California,Monterey,262000,30.14,-4,100
California,353,California,Santa Clara,1500000,21.87,0,100
California,393,California,San Mateo,199000,27.91,-3,100
California,834,California,Riverside,91765,52.43,-6,100
Colorado,66,Colorado,Boulder,89383,33.6,-77,100
Colorado,656,Colorado,La Plata,23429,44.2,-98,100
Colorado,49,Colorado,Adams; Arapahoe,268004,23.2,-62,100
Colorado,408,Colorado,Summit,35643,36.8,-82,100
Colorado,117,Colorado,El Paso,303855,31,5639,100
Colorado,116,Colorado,El Paso,102204,25.6,-84,100
Colorado,1591,Colorado,Otero,29643,28,693,100
Colorado,163,Colorado,Weld,83319,33.2,3321807,50
Colorado,251,Colorado,Jefferson,345454,33,24682,100
Colorado,372,Colorado,Arapahoe,247443,29.2,-96,100
Colorado,252,Colorado,Denver,709904,36.2,51,100
Colorado,329,Colorado,Pueblo,96515,33.6,-97,100
Colorado,396,Colorado,San Miguel,15000,25,-100,100
Colorado,1902,Colorado,Douglas,25000,48,-8,100
Colorado,161,Colorado,Garfield,16714,36.8,2562,100
Colorado,2693,Colorado,Weld,40071,42,-87,100
Colorado,2936,Colorado,Douglas,60571,22.4,-37,100
Colorado,47,Colorado,Pitkin,5500,33.25,17,100
Colorado,576,Colorado,Routt,43741,46.75,-11,100
Colorado,737,Colorado,Alamosa,18364,22.25,-100,100
Colorado,751,Colorado,Mesa,89286,29.25,23,100
Colorado,1901,Colorado,Douglas,35000,51.86,4,100
Connecticut,686,Connecticut,New Haven,115000,63.5,-64,100
Connecticut,2645,Connecticut,Fairfield,52268,71.2,-12,100
Connecticut,2603,Connecticut,Fairfield,140000,28.71,5,100
Connecticut,2486,Connecticut,Fairfield,45878,79.4,166,100
Connecticut,806,Connecticut,Fairfield,85000,80.6,-94,100
Connecticut,2733,Connecticut,Fairfield,72914,55.6,-92,100
Connecticut,771,Connecticut,Fairfield,140000,52.6,-68,100
Connecticut,2650,Connecticut,New London,41000,90.8,134,100
Connecticut,534,Connecticut,Fairfield,100000,80.4,-75,100
Connecticut,832,Connecticut,New London,40000,85,-86,100
Delaware,1194,Delaware,New Castle,539000,59.6,-54,100
Delaware,1192,Delaware,Sussex,7000,74,-70,100
Delaware,1187,Delaware,New Castle,17145,72.4,335,100
Delaware,1185,Delaware,Sussex,4392,74.2,-98,100
Delaware,1183,Delaware,Sussex,7000,55.75,-23,100
Delaware,1930,Delaware,Sussex,13172,65.5,9,100
Delaware,1184,Delaware,Kent,130000,78.25,30,100
Delaware,1186,Delaware,Sussex,4050,73.8,-4,100
Delaware,1191,Delaware,Sussex,75000,35.8,-21,100
District of Columbia,2781,District of Columbia,Fairfax; Prince Georges; Montgomery; Loudoun; District Of Columbia; Arlington,1600000,69.33,3478,100
Florida,669,Florida,Orange,277823,41.6,N/A,100
Florida,2919,Florida,Broward,22417,51.4,-91,100
Florida,1631,Florida,Orange,50000,47.6,N/A,100
Florida,781,Florida,Miami-Dade,900000,39.4,-11,100
Florida,1715,Florida,Orange,463672,34.6,-89,100
Florida,1631,Florida,Orange,80000,32.4,-27,100
Florida,1631,Florida,Orange,50000,40.57,-28,100
Florida,2359,Florida,Pinellas,47790,41.71,-33,100
Florida,1686,Florida,Orange,277823,43,83,100
Florida,1702,Florida,Orange,59587,37.8,-69,100
Florida,2637,Florida,Palm Beach; Martin,100000,54.2,-11,100
Florida,2692,Florida,Sarasota,100000,41.2,-73,100
Florida,1392,Florida,Hillsborough,180000,55.5,N/A,100
Florida,1501,Florida,Alachua,100000,N/A,N/A,N/A
Florida,2327,Florida,Leon,212065,42.8,355,100
Florida,2851,Florida,Alachua,100000,60.33,N/A,100
Florida,2911,Florida,Broward,139856,59,-88,100
Florida,1897,Florida,Palm Beach,90000,32.86,13,100
Florida,2503,Florida,Escambia,207000,46.4,36,100
Florida,2587,Florida,Orange; Seminole,95000,20,51,100
Florida,711,Florida,Miami-Dade,750000,28.6,-61,100
Florida,1502,Florida,Alachua,100000,N/A,N/A,N/A
Florida,2769,Florida,Saint Johns,14000,40.6,-24,100
Florida,2934,Florida,Palm Beach,300000,42,8217103,100
Florida,511,Florida,Pinellas,103000,57.8,659295,100
Florida,670,Florida,Orange,59587,27,N/A,100
Florida,671,Florida,Orange,463672,37.2,N/A,100
Florida,1686,Florida,Orange,195299,22.57,-7,100
Florida,1715,Florida,Orange,183009,35.14,20,100
Florida,2327,Florida,Leon,212065,42.71,-24,100
Florida,2358,Florida,Pinellas,89847,17.4,9,100
Florida,1606,Florida,Lee,76800,33,N/A,100
Florida,1735,Florida,Seminole; Orange,51000,30,2754,100
Florida,2422,Florida,Pinellas,220000,56.25,N/A,100
Florida,2935,Florida,Volusia,45185,45,-100,100
Florida,1702,Florida,Orange; Pinellas,94218,35.9,-2,88
Florida,1840,Florida,Miami-Dade,776150,29.29,64,100
