Wastewater Surveillance Viral Activity Level Over Time Data
Date generated: Fri Feb 28 2025 10:01:21 GMT-0500 (Eastern Standard Time)
Date,Viral Activity Level
2022-01-01,16.68
2022-01-08,24.63
2022-01-15,23.49
2022-01-22,20.97
2022-01-29,15.15
2022-02-05,9.81
2022-02-12,6.3
2022-02-19,4.19
2022-02-26,2.83
2022-03-05,1.92
2022-03-12,1.55
2022-03-19,1.29
2022-03-26,1.38
2022-04-02,1.31
2022-04-09,1.71
2022-04-16,2.24
2022-04-23,3.36
2022-04-30,4.07
2022-05-07,5.23
2022-05-14,6.3
2022-05-21,7.18
2022-05-28,8
2022-06-04,7.8
2022-06-11,7.29
2022-06-18,7.29
2022-06-25,7.71
2022-07-02,8.3
2022-07-09,9.99
2022-07-16,9.64
2022-07-23,10.35
2022-07-30,9.4
2022-08-06,8.47
2022-08-13,7.54
2022-08-20,7.09
2022-08-27,6.88
2022-09-03,6.03
2022-09-10,5.79
2022-09-17,5.37
2022-09-24,4.98
2022-10-01,3.92
2022-10-08,3.72
2022-10-15,3.6
2022-10-22,3.61
2022-10-29,4.2
2022-11-05,4.21
2022-11-12,4.4
2022-11-19,4.91
2022-11-26,5.57
2022-12-03,9.21
2022-12-10,8.94
2022-12-17,9.5
2022-12-24,9.77
2022-12-31,11.25
2023-01-07,8.55
2023-01-14,6.18
2023-01-21,5.96
2023-01-28,6.15
2023-02-04,6.45
2023-02-11,6.56
2023-02-18,6.7
2023-02-25,6.15
2023-03-04,5.43
2023-03-11,4.62
2023-03-18,4.99
2023-03-25,4.67
2023-04-01,3.68
2023-04-08,3.05
2023-04-15,3
2023-04-22,2.26
2023-04-29,1.98
2023-05-06,2.16
2023-05-13,1.99
2023-05-20,1.74
2023-05-27,1.56
2023-06-03,1.37
2023-06-10,1.2
2023-06-17,1.22
2023-06-24,1.28
2023-07-01,1.45
2023-07-08,1.77
2023-07-15,1.97
2023-07-22,2.22
2023-07-29,2.77
2023-08-05,3.33
2023-08-12,4.27
2023-08-19,4.6
2023-08-26,5.17
2023-09-02,5.93
2023-09-09,6.7
2023-09-16,5.88
2023-09-23,5.64
2023-09-30,5.43
2023-10-07,4.71
2023-10-14,4.08
2023-10-21,4.29
2023-10-28,4.32
2023-11-04,4.74
2023-11-11,5.19
2023-11-18,5.87
2023-11-25,6.51
2023-12-02,8.05
2023-12-09,8.94
2023-12-16,10.14
2023-12-23,12.52
2023-12-30,14.35
2024-01-06,13.83
2024-01-13,10.82
2024-01-20,8.91
2024-01-27,8.77
2024-02-03,7.25
2024-02-10,7.41
2024-02-17,7.23
2024-02-24,6.57
2024-03-02,5.26
2024-03-09,4.26
2024-03-16,3.17
2024-03-23,2.68
2024-03-30,2.53
2024-04-06,2.24
2024-04-13,1.93
2024-04-20,1.64
2024-04-27,1.48
2024-05-04,1.47
2024-05-11,1.51
2024-05-18,1.68
2024-05-25,1.84
2024-06-01,2.06
2024-06-08,2.36
2024-06-15,2.54
2024-06-22,3.2
2024-06-29,4.07
2024-07-06,4.66
2024-07-13,5.96
2024-07-20,6.79
2024-07-27,7.34
2024-08-03,8.98
2024-08-10,8.86
2024-08-17,8.83
2024-08-24,9.09
2024-08-31,8.88
2024-09-07,8.3
2024-09-14,7.36
2024-09-21,5.67
2024-09-28,4.21
2024-10-05,2.96
2024-10-12,2.46
2024-10-19,2.14
2024-10-26,2.15
2024-11-02,2.04
2024-11-09,1.81
2024-11-16,1.78
2024-11-23,1.94
2024-11-30,1.81
2024-12-07,2.82
2024-12-14,3.67
2024-12-21,4.18
2024-12-28,5.08
2025-01-04,5.53
2025-01-11,5.27
2025-01-18,4.42
2025-01-25,4.61
2025-02-01,4.58
2025-02-08,4.49
2025-02-15,4.11
